Dan Arnold,24,3,0,5,3,31,10.3,1,2,19,1,10.3,0.6,6.2,0,0,0,0,0,0,0,0,3,10.3,31,0.00,0.00,0.00,0.00,8.93,6.14,67.21,10.94,0.43,0.07
Deon Cain,23,11,6,18,7,114,16.3,0,6,35,0.6,10.4,0.39,6.3,0,0,0,0,0,0,0,0,7,16.3,114,0.50,2.36,4.71,0.00,20.71,12.86,164.93,12.83,1.36,0.14
Dontrelle Inman,30,5,1,16,10,157,15.7,0,8,28,2,31.4,0.63,9.8,0,0,0,0,0,0,0,0,10,15.7,157,0.43,3.64,8.50,0.07,22.86,15.07,189.79,12.59,0.86,0.07
Emmanuel Sanders,32,15,14,87,60,783,13.1,5,37,75,4,52.2,0.69,9,0,0,0,0,0,0,0,0,60,13.1,783,0.36,-0.07,-0.20,0.00,20.29,12.79,153.79,12.03,0.86,0.29
J.P. Holtz,26,13,5,7,6,78,13,0,3,30,0.5,6,0.86,11.1,0,0,0,0,0,0,0,0,6,13,78,0.00,0.00,0.00,0.00,9.57,6.43,63.43,9.87,0.29,0.00
Jordan Matthews,27,3,1,12,4,33,8.3,0,1,10,1.3,11,0.33,2.8,0,0,0,0,0,0,0,0,4,8.3,33,0.64,3.14,4.89,0.00,18.36,11.14,136.86,12.28,0.86,0.00
Kenyan Drake,25,12,8,60,44,304,6.9,0,14,26,3.7,25.3,0.73,5.1,134,591,5,37,36,4.4,49.3,11.2,178,5,895,18.79,76.07,4.05,1.00,6.93,5.64,51.64,9.15,0.07,0.36
Mack Hollins,26,14,3,23,10,125,12.5,0,7,20,0.7,8.9,0.44,5.4,0,0,0,0,0,0,0,0,10,12.5,125,1.36,6.86,5.05,0.00,16.43,9.86,148.64,15.08,0.71,0.07
Mike Davis,26,10,1,8,7,22,3.1,0,1,7,0.7,2.2,0.88,2.8,11,25,0,0,8,2.3,2.5,1.1,18,2.6,47,20.50,85.14,4.15,0.29,7.29,6.14,40.07,6.52,0.14,0.29
Mohamed Sanu,30,13,10,79,53,461,8.7,2,27,28,4.1,35.5,0.67,5.8,3,11,0,1,8,3.7,0.8,0.2,56,8.4,472,0.43,3.36,7.83,0.07,20.86,12.36,135.86,10.99,0.43,0.43
Nick Vannett,26,14,7,21,16,148,9.3,0,4,17,1.1,10.6,0.76,7,0,0,0,0,0,0,0,0,16,9.3,148,0.00,0.29,0.00,0.00,6.14,3.93,42.43,10.80,0.21,0.00
